"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 02:43:43 UTC 2024","Fri Nov 01 02:43:46 UTC 2024","2318","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-3-3]",""
"broken","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:45:55 UTC 2024","29111","tests.agent_trajectory","market_analysis","","","","test_query_nft_ranking[2-3]",""
"passed","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:46:12 UTC 2024","46951","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[3-3]",""
"passed","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:47:07 UTC 2024","102313","tests.agent_trajectory","feed_explore","","","","test_query_social_activities[3-3]",""
"passed","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:46:33 UTC 2024","68483","tests.agent_trajectory","feed_explore","","","","test_query_specific_activity_type[3-3]",""
"passed","Fri Nov 01 02:43:32 UTC 2024","Fri Nov 01 02:43:41 UTC 2024","8465","tests","supervisor_chain","","","","test_next_role[Can you provide a detailed analysis of the Uniswap project, including its recent developments and market position?-research_analyst_agent-2-3]",""
"passed","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:46:30 UTC 2024","64770","tests.agent_trajectory","feed_explore","","","","test_query_telegram_news[2-3]",""
"passed","Fri Nov 01 02:43:43 UTC 2024","Fri Nov 01 02:43:45 UTC 2024","2300","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-2-3]",""
"passed","Fri Nov 01 02:43:40 UTC 2024","Fri Nov 01 02:43:42 UTC 2024","1570","tests","supervisor_chain","","","","test_next_role[Can you check my ETH balance and show me how to swap some for USDC?-asset_management_agent-1-3]",""
"passed","Fri Nov 01 02:43:42 UTC 2024","Fri Nov 01 02:43:45 UTC 2024","2079","tests","supervisor_chain","","","","test_next_role[Show me the latest social interactions for vitalik.eth on Farcaster.-feed_explorer_agent-1-3]",""
"passed","Fri Nov 01 02:43:33 UTC 2024","Fri Nov 01 02:43:42 UTC 2024","9152","tests","supervisor_chain","","","","test_next_role[What's the latest block height on the Ethereum network, and what are the current gas fees?-block_explorer_agent-1-3]",""
"passed","Fri Nov 01 02:43:32 UTC 2024","Fri Nov 01 02:43:40 UTC 2024","7763","tests","supervisor_chain","","","","test_next_role[swap 1 eth to usdt on ethereum.-asset_management_agent-1-3]",""
"failed","Fri Nov 01 02:45:25 UTC 2024","Fri Nov 01 02:45:45 UTC 2024","20112","tests.agent_trajectory","market_analysis","","","","test_query_coin_market[2-3]",""
