"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[1-3]",""
"broken","Fri Nov 01 02:07:50 UTC 2024","Fri Nov 01 02:07:50 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-2-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_nft_ranking[1-3]",""
"broken","Fri Nov 01 02:07:50 UTC 2024","Fri Nov 01 02:07:50 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[Can you help me transfer 0.5 ETH to 0x742d35Cc6634C0532925a3b844Bc454e4438f44e on the Ethereum network?-asset_management_agent-1-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_coin_market[1-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","block_explore","","","","test_query_block_height[3-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_eth_price[3-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","feed_explore","","","","test_query_limited_news[2-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[3-3]",""
"broken","Fri Nov 01 02:07:49 UTC 2024","Fri Nov 01 02:07:49 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[Can you help me transfer 0.5 ETH to 0x742d35Cc6634C0532925a3b844Bc454e4438f44e on the Ethereum network?-asset_management_agent-2-3]",""
"broken","Fri Nov 01 02:07:50 UTC 2024","Fri Nov 01 02:07:50 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[What are the recent DeFi activities for the address 0x742d35Cc6634C0532925a3b844Bc454e4438f44e?-feed_explorer_agent-2-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[2-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","market_analysis","","","","test_query_nft_ranking[3-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","feed_explore","","","","test_query_telegram_news[3-3]",""
"broken","Fri Nov 01 02:07:50 UTC 2024","Fri Nov 01 02:07:50 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-1-3]",""
"broken","Fri Nov 01 02:07:49 UTC 2024","Fri Nov 01 02:07:49 UTC 2024","0","tests","supervisor_chain","","","","test_next_role[swap 1 eth to usdt on ethereum.-asset_management_agent-3-3]",""
"broken","Fri Nov 01 02:09:18 UTC 2024","Fri Nov 01 02:09:18 UTC 2024","0","tests.agent_trajectory","feed_explore","","","","test_query_social_activities[3-3]",""
