"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 31 04:19:23 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","392","tests","supervisor_chain","","","","test_next_role[swap 1 eth to usdt on ethereum.-asset_management_agent-1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","358","tests","supervisor_chain","","","","test_next_role[Show me the latest social interactions for vitalik.eth on Farcaster.-feed_explorer_agent-2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:09 UTC 2024","8404","tests.agent_trajectory","feed_explore","","","","test_query_limited_news[2-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","419","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-1-3]",""
"passed","Thu Oct 31 04:21:00 UTC 2024","Thu Oct 31 04:21:07 UTC 2024","6486","tests.agent_trajectory","asset_management","","","","test_transfer_eth[2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:07 UTC 2024","6287","tests.agent_trajectory","asset_management","","","","test_swap_eth_to_usdt[3-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","7317","tests.agent_trajectory","block_explore","","","","test_query_block_height[1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","323","tests","supervisor_chain","","","","test_next_role[What's the weather like today in New York?-fallback_agent-2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","6638","tests.agent_trajectory","market_analysis","","","","test_query_eth_price[2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","7500","tests.agent_trajectory","market_analysis","","","","test_query_btc_price[2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","6211","tests.agent_trajectory","asset_management","","","","test_swap_eth_to_usdt[2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:14 UTC 2024","13089","tests.agent_trajectory","feed_explore","","","","test_query_social_activities[2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","6902","tests.agent_trajectory","asset_management","","","","test_query_user_nft_holdings[3-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","7715","tests.agent_trajectory","market_analysis","","","","test_query_btc_price[1-3]",""
"passed","Thu Oct 31 04:19:23 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","399","tests","supervisor_chain","","","","test_next_role[What's the weather like today in New York?-fallback_agent-3-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","335","tests","supervisor_chain","","","","test_next_role[Can you check my ETH balance and show me how to swap some for USDC?-asset_management_agent-1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","313","tests","supervisor_chain","","","","test_next_role[swap 1 eth to usdt on ethereum.-asset_management_agent-2-3]",""
"passed","Thu Oct 31 04:19:23 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","351","tests","supervisor_chain","","","","test_next_role[Can you help me transfer 0.5 ETH to 0x742d35Cc6634C0532925a3b844Bc454e4438f44e on the Ethereum network?-asset_management_agent-1-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:10 UTC 2024","9086","tests.agent_trajectory","feed_explore","","","","test_query_limited_news[3-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","359","tests","supervisor_chain","","","","test_next_role[What are the recent DeFi activities for the address 0x742d35Cc6634C0532925a3b844Bc454e4438f44e?-feed_explorer_agent-2-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:07 UTC 2024","5982","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[3-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:06 UTC 2024","5521","tests.agent_trajectory","market_analysis","","","","test_query_funding_rate[1-3]",""
"passed","Thu Oct 31 04:21:00 UTC 2024","Thu Oct 31 04:21:07 UTC 2024","6289","tests.agent_trajectory","asset_management","","","","test_transfer_eth[3-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:11 UTC 2024","9520","tests.agent_trajectory","asset_management","","","","test_query_user_token_balance[1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","346","tests","supervisor_chain","","","","test_next_role[Can you provide a detailed analysis of the Uniswap project, including its recent developments and market position?-research_analyst_agent-1-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:16 UTC 2024","14766","tests.agent_trajectory","feed_explore","","","","test_query_specific_activity_type[1-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:09 UTC 2024","8188","tests.agent_trajectory","feed_explore","","","","test_query_telegram_news[3-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","346","tests","supervisor_chain","","","","test_next_role[What are the most recent activities of vitalik.eth from the Uniswap on Ethereum?-feed_explorer_agent-2-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","457","tests","supervisor_chain","","","","test_next_role[What are the recent DeFi activities for the address 0x742d35Cc6634C0532925a3b844Bc454e4438f44e?-feed_explorer_agent-3-3]",""
"passed","Thu Oct 31 04:19:23 UTC 2024","Thu Oct 31 04:19:23 UTC 2024","487","tests","supervisor_chain","","","","test_next_role[swap 1 eth to usdt on ethereum.-asset_management_agent-3-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:08 UTC 2024","7697","tests.agent_trajectory","market_analysis","","","","test_query_btc_price[3-3]",""
"passed","Thu Oct 31 04:19:23 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","550","tests","supervisor_chain","","","","test_next_role[What's the latest block height on the Ethereum network, and what are the current gas fees?-block_explorer_agent-3-3]",""
"passed","Thu Oct 31 04:21:00 UTC 2024","Thu Oct 31 04:21:09 UTC 2024","8717","tests.agent_trajectory","feed_explore","","","","test_query_telegram_news[1-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:14 UTC 2024","12717","tests.agent_trajectory","market_analysis","","","","test_query_nft_ranking[1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","495","tests","supervisor_chain","","","","test_next_role[What's the latest block height on the Ethereum network, and what are the current gas fees?-block_explorer_agent-2-3]",""
"passed","Thu Oct 31 04:21:00 UTC 2024","Thu Oct 31 04:21:07 UTC 2024","6990","tests.agent_trajectory","market_analysis","","","","test_query_coin_market[1-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","341","tests","supervisor_chain","","","","test_next_role[Can you check my ETH balance and show me how to swap some for USDC?-asset_management_agent-3-3]",""
"passed","Thu Oct 31 04:20:59 UTC 2024","Thu Oct 31 04:21:17 UTC 2024","17413","tests.agent_trajectory","feed_explore","","","","test_query_specific_activity_type[3-3]",""
"passed","Thu Oct 31 04:19:24 UTC 2024","Thu Oct 31 04:19:24 UTC 2024","382","tests","supervisor_chain","","","","test_next_role[Show me the latest social interactions for vitalik.eth on Farcaster.-feed_explorer_agent-1-3]",""
"passed","Thu Oct 31 04:21:01 UTC 2024","Thu Oct 31 04:21:14 UTC 2024","13561","tests.agent_trajectory","market_analysis","","","","test_query_nft_ranking[2-3]",""
